ece592_conflict_plan_version=1
generator=SplitMix64+Fisher-Yates
sweep=conflict line count by conflict stride
line_counts=2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
conflict_stride_bytes_values=4096,8192,16384,32768,65536
unique_line_count_count=23
unique_conflict_stride_count=5
trial_count=2
plan_seed=16592
plan_row_count=230
data_begin
global_execution_index	trial	trial_execution_index	plot_index	conflict_line_count	conflict_stride_bytes	point_seed
185	1	70	79	12	32768	301359421289989813
186	1	71	76	9	32768	2257768399422654703
187	1	72	71	4	32768	3193622321459645196
188	1	73	101	11	65536	13225024775055206857
189	1	74	0	2	4096	2991277704514769676
190	1	75	77	10	32768	16369097622560415165
191	1	76	111	21	65536	10085073448407454610
192	1	77	48	4	16384	2782413077053689192
193	1	78	103	13	65536	3275856079062079854
194	1	79	58	14	16384	7118358279379685708
195	1	80	8	10	4096	111272576688652724
196	1	81	13	15	4096	4333158653835505608
197	1	82	43	22	8192	2909334836401228580
198	1	83	88	21	32768	12277046310541500232
199	1	84	62	18	16384	13877019493500962264
200	1	85	56	12	16384	16873661638752337356
201	1	86	32	11	8192	10423654281496958224
202	1	87	104	14	65536	11709076614975261945
203	1	88	44	23	8192	3003968028120247462
204	1	89	61	17	16384	8035014255697103041
205	1	90	64	20	16384	1805962663681543182
206	1	91	80	13	32768	9810732827113661373
207	1	92	94	4	65536	12818605991009271088
208	1	93	95	5	65536	12612103252720199914
209	1	94	74	7	32768	11934316095402959690
210	1	95	27	6	8192	7516024051281771599
211	1	96	42	21	8192	5249761394905024892
212	1	97	12	14	4096	3512750574090663927
213	1	98	59	15	16384	13430281842426420998
214	1	99	24	3	8192	10714483864289924815
215	1	100	113	23	65536	9879950758306148716
216	1	101	5	7	4096	16627213040114772156
217	1	102	107	17	65536	1699379669154067840
218	1	103	73	6	32768	4887596235175479925
219	1	104	30	9	8192	3702194087117017936
220	1	105	51	7	16384	1535029735618974644
221	1	106	93	3	65536	10716589170105171477
222	1	107	11	13	4096	13167536131486271636
223	1	108	7	9	4096	14336112847252779007
224	1	109	40	19	8192	7353774074131601839
225	1	110	66	22	16384	14231981596670113931
226	1	111	55	11	16384	4820595967627816646
227	1	112	31	10	8192	3706045767239793041
228	1	113	97	7	65536	13405278959490259815
229	1	114	65	21	16384	3286187330505187440
data_end
